lic_ticker,lic_name,year,ex_date,payment_date,dividend_type,dividend_phase,cash_amount,franking_level,corp_tax_rate,franking_credit_amount,grossed_up_amount,drp_price,lic_id
AFI,Australian Foundation Investment Company Limited,2014,2014-02-07,2014-02-21,Ordinary,Interim,0.0800,100.00,30.00,0.0343,0.1143,5.8600,
AFI,Australian Foundation Investment Company Limited,2014,2014-08-08,2014-08-29,Ordinary,Final,0.1400,100.00,30.00,0.0600,0.2000,5.9300,
AFI,Australian Foundation Investment Company Limited,2015,2014-02-05,2015-02-20,Ordinary,Interim,0.0900,100.00,30.00,0.0386,0.1286,5.9700,
AFI,Australian Foundation Investment Company Limited,2015,2015-08-07,2015-08-28,Ordinary,Final,0.1400,100.00,30.00,0.0600,0.2000,6.0300,
AFI,Australian Foundation Investment Company Limited,2016,2016-02-03,2016-02-19,Ordinary,Interim,0.1000,100.00,30.00,0.0429,0.1429,5.4300,
AFI,Australian Foundation Investment Company Limited,2016,2016-08-09,2016-08-30,Ordinary,Final,0.1400,100.00,30.00,0.0600,0.2000,5.5800,
AFI,Australian Foundation Investment Company Limited,2017,2017-02-07,2017-02-24,Ordinary,Interim,0.1000,100.00,30.00,0.0429,0.1429,5.8400,
AFI,Australian Foundation Investment Company Limited,2017,2017-08-08,2017-08-30,Ordinary,Final,0.1400,100.00,30.00,0.0600,0.2000,5.9200,
AFI,Australian Foundation Investment Company Limited,2018,2018-02-08,2018-02-23,Ordinary,Interim,0.1000,100.00,30.00,0.0429,0.1429,6.1100,
AFI,Australian Foundation Investment Company Limited,2018,2018-08-08,2018-08-31,Ordinary,Final,0.1400,100.00,30.00,0.0600,0.2000,6.1800,
AFI,Australian Foundation Investment Company Limited,2019,2019-02-08,2019-02-25,Ordinary,Interim,0.0800,100.00,30.00,0.0343,0.1143,5.9300,
AFI,Australian Foundation Investment Company Limited,2019,2019-02-08,2019-02-25,Special,Special,0.1000,100.00,30.00,0.0429,0.1429,5.9300,
