lic_ticker,lic_name,month_year,year,share_price,pre_tax_nta,post_tax_nta,sp_vs_pre_tax_nta,sp_vs_post_tax_nta,lic_id
AFI,Australian Foundation Investment Company Limited,Jan-14,2014,6.1,5.6,4.75,8.93,28.42,
AFI,Australian Foundation Investment Company Limited,Feb-14,2014,6.06,5.78,4.87,4.84,24.44,
AFI,Australian Foundation Investment Company Limited,Mar-14,2014,6,5.8,4.89,3.45,22.7,
AFI,Australian Foundation Investment Company Limited,Apr-14,2014,5.96,5.87,4.94,1.53,20.65,
AFI,Australian Foundation Investment Company Limited,May-14,2014,6.03,5.94,5.01,1.52,20.36,
AFI,Australian Foundation Investment Company Limited,Jun-14,2014,6.18,5.85,4.94,5.64,25.1,
AFI,Australian Foundation Investment Company Limited,Jul-14,2015,6.23,6.08,5.11,2.47,21.92,
AFI,Australian Foundation Investment Company Limited,Aug-14,2015,6.13,5.99,5.02,2.34,22.11,
AFI,Australian Foundation Investment Company Limited,Sep-14,2015,5.95,5.66,4.8,5.12,23.96,
AFI,Australian Foundation Investment Company Limited,Oct-14,2015,5.96,5.89,4.98,1.19,19.68,
AFI,Australian Foundation Investment Company Limited,Nov-14,2015,6.02,5.68,4.85,5.99,24.12,
AFI,Australian Foundation Investment Company Limited,Dec-14,2015,6.05,5.8,4.94,4.31,22.47,
AFI,Australian Foundation Investment Company Limited,Jan-15,2015,6.14,5.94,5.04,3.37,21.83,
AFI,Australian Foundation Investment Company Limited,Feb-15,2015,6.21,6.29,5.27,-1.27,17.84,
AFI,Australian Foundation Investment Company Limited,Mar-15,2015,6.24,6.3,5.29,-0.95,17.96,
AFI,Australian Foundation Investment Company Limited,Apr-15,2015,6.22,6.19,5.22,0.48,19.16,
AFI,Australian Foundation Investment Company Limited,May-15,2015,6.18,6.18,5.23,0,18.16,
AFI,Australian Foundation Investment Company Limited,Jun-15,2015,6.12,5.85,5,4.62,22.4,
AFI,Australian Foundation Investment Company Limited,Jul-15,2016,6.39,6.11,5.18,4.58,23.36,
AFI,Australian Foundation Investment Company Limited,Aug-15,2016,5.9,5.48,4.72,7.66,25,
AFI,Australian Foundation Investment Company Limited,Sep-15,2016,5.7,5.31,4.61,7.34,23.64,
AFI,Australian Foundation Investment Company Limited,Oct-15,2016,5.83,5.54,4.77,5.23,22.22,
AFI,Australian Foundation Investment Company Limited,Nov-15,2016,5.74,5.51,4.78,4.17,20.08,
AFI,Australian Foundation Investment Company Limited,Dec-15,2016,5.95,5.63,4.87,5.68,22.18,
AFI,Australian Foundation Investment Company Limited,Jan-16,2016,5.78,5.31,4.65,8.85,24.3,
AFI,Australian Foundation Investment Company Limited,Feb-16,2016,5.45,5.12,4.51,6.45,20.84,
AFI,Australian Foundation Investment Company Limited,Mar-16,2016,5.53,5.34,4.68,3.56,18.16,
AFI,Australian Foundation Investment Company Limited,Apr-16,2016,5.54,5.55,4.81,-0.18,15.18,
AFI,Australian Foundation Investment Company Limited,May-16,2016,5.64,5.68,4.91,-0.7,14.87,
AFI,Australian Foundation Investment Company Limited,Jun-16,2016,5.61,5.5,4.79,2,17.12,
AFI,Australian Foundation Investment Company Limited,Jul-16,2017,5.92,5.82,5.01,1.72,18.16,
AFI,Australian Foundation Investment Company Limited,Aug-16,2017,5.65,5.59,4.82,1.07,17.22,
AFI,Australian Foundation Investment Company Limited,Sep-16,2017,5.7,5.6,4.84,1.79,17.77,
AFI,Australian Foundation Investment Company Limited,Oct-16,2017,5.73,5.45,4.73,5.14,21.14,
AFI,Australian Foundation Investment Company Limited,Nov-16,2017,5.75,5.6,4.85,2.68,18.56,
AFI,Australian Foundation Investment Company Limited,Dec-16,2017,5.76,5.83,5.01,-1.2,14.97,
AFI,Australian Foundation Investment Company Limited,Jan-17,2017,5.92,5.78,4.98,2.42,18.88,
AFI,Australian Foundation Investment Company Limited,Feb-17,2017,5.74,5.76,4.96,-0.35,15.73,
AFI,Australian Foundation Investment Company Limited,Mar-17,2017,5.76,5.97,5.12,-3.52,12.5,
AFI,Australian Foundation Investment Company Limited,Apr-17,2017,5.81,6.02,5.16,-3.49,12.6,
AFI,Australian Foundation Investment Company Limited,May-17,2017,5.75,5.87,5.05,-2.04,13.86,
AFI,Australian Foundation Investment Company Limited,Jun-17,2017,5.81,5.89,5.07,-1.36,14.6,
AFI,Australian Foundation Investment Company Limited,Jul-17,2018,6.11,5.87,5.06,4.09,20.75,
AFI,Australian Foundation Investment Company Limited,Aug-17,2018,5.87,5.75,4.94,2.09,18.83,
AFI,Australian Foundation Investment Company Limited,Sep-17,2018,5.8,5.73,4.94,1.22,17.41,
AFI,Australian Foundation Investment Company Limited,Oct-17,2018,5.95,5.95,5.09,0,16.9,
AFI,Australian Foundation Investment Company Limited,Nov-17,2018,6.02,6.03,5.15,-0.17,16.89,
AFI,Australian Foundation Investment Company Limited,Dec-17,2018,6.24,6.15,5.24,1.46,19.08,
AFI,Australian Foundation Investment Company Limited,Jan-18,2018,6.31,6.13,5.23,2.94,20.65,
AFI,Australian Foundation Investment Company Limited,Feb-18,2018,6.09,6.03,5.15,1,18.25,
AFI,Australian Foundation Investment Company Limited,Mar-18,2018,6.04,5.83,5.02,3.6,20.32,
AFI,Australian Foundation Investment Company Limited,Apr-18,2018,6,6.02,5.15,-0.33,16.5,
AFI,Australian Foundation Investment Company Limited,May-18,2018,6,6.07,5.19,-1.15,15.61,
AFI,Australian Foundation Investment Company Limited,Jun-18,2018,6.16,6.27,5.34,-1.75,15.36,
AFI,Australian Foundation Investment Company Limited,Jul-18,2019,6.33,6.34,5.4,-0.16,17.22,
AFI,Australian Foundation Investment Company Limited,Aug-18,2019,6.24,6.29,5.34,-0.79,16.85,
AFI,Australian Foundation Investment Company Limited,Sep-18,2019,6.24,6.2,5.3,0.65,17.74,
AFI,Australian Foundation Investment Company Limited,Oct-18,2019,6.06,5.82,5.03,4.12,20.48,
AFI,Australian Foundation Investment Company Limited,Nov-18,2019,5.98,5.7,4.97,4.91,20.32,
AFI,Australian Foundation Investment Company Limited,Dec-18,2019,6,5.69,4.97,5.45,20.72,
AFI,Australian Foundation Investment Company Limited,Jan-19,2019,6.33,5.83,5.07,8.58,24.85,
AFI,Australian Foundation Investment Company Limited,Feb-19,2019,6,5.99,5.15,0.17,16.5,
AFI,Australian Foundation Investment Company Limited,Mar-19,2019,5.95,6.03,5.19,-1.33,14.64,
AFI,Australian Foundation Investment Company Limited,Apr-19,2019,5.94,6.19,5.3,-4.04,12.08,
AFI,Australian Foundation Investment Company Limited,May-19,2019,6.09,6.28,5.37,-3.03,13.41,
AFI,Australian Foundation Investment Company Limited,Jun-19,2019,6.25,6.49,5.52,-3.7,13.22,
AFI,Australian Foundation Investment Company Limited,Jul-19,2020,6.5,6.64,5.63,-2.11,15.45,
AFI,Australian Foundation Investment Company Limited,Aug-19,2020,6.17,6.35,5.41,-2.83,14.05,
AFI,Australian Foundation Investment Company Limited,Sep-19,2020,6.38,6.48,5.51,-1.54,15.79,
AFI,Australian Foundation Investment Company Limited,Oct-19,2020,6.54,6.51,5.53,0.46,18.26,
AFI,Australian Foundation Investment Company Limited,Nov-19,2020,6.88,6.76,5.71,1.78,20.49,
AFI,Australian Foundation Investment Company Limited,Dec-19,2020,7.11,6.63,5.63,7.24,26.29,
AFI,Australian Foundation Investment Company Limited,Jan-20,2020,7.09,6.96,5.86,1.87,20.99,
AFI,Australian Foundation Investment Company Limited,Feb-20,2020,6.36,6.35,5.41,0.16,17.56,
AFI,Australian Foundation Investment Company Limited,Mar-20,2020,5.65,5.18,4.6,9.07,22.83,
AFI,Australian Foundation Investment Company Limited,Apr-20,2020,5.8,5.54,4.85,4.69,19.59,
AFI,Australian Foundation Investment Company Limited,May-20,2020,6.07,5.77,5.02,5.2,20.92,
AFI,Australian Foundation Investment Company Limited,Jun-20,2020,6.09,5.96,5.16,2.18,18.02,
AFI,Australian Foundation Investment Company Limited,Jul-20,2021,6.33,6.01,5.19,5.32,21.97,
AFI,Australian Foundation Investment Company Limited,Aug-20,2021,6.28,6.05,5.18,3.8,21.24,
AFI,Australian Foundation Investment Company Limited,Sep-20,2021,6.31,5.9,5.09,6.95,23.97,
AFI,Australian Foundation Investment Company Limited,Oct-20,2021,6.51,6.03,5.18,7.96,25.68,
AFI,Australian Foundation Investment Company Limited,Nov-20,2021,7.21,6.56,5.56,9.91,29.68,
AFI,Australian Foundation Investment Company Limited,Dec-20,2021,7.3,6.64,5.61,9.94,30.12,
AFI,Australian Foundation Investment Company Limited,Jan-21,2021,7.52,6.68,5.63,12.57,33.57,
AFI,Australian Foundation Investment Company Limited,Feb-21,2021,7.09,6.6,5.56,7.42,27.52,
AFI,Australian Foundation Investment Company Limited,Mar-21,2021,7.42,6.8,5.72,9.12,29.72,
AFI,Australian Foundation Investment Company Limited,Apr-21,2021,7.48,7.06,5.91,5.95,26.57,
AFI,Australian Foundation Investment Company Limited,May-21,2021,7.54,7.22,6.03,4.43,25.04,
AFI,Australian Foundation Investment Company Limited,Jun-21,2021,7.82,7.45,6.19,4.97,26.33,
AFI,Australian Foundation Investment Company Limited,Jul-21,2022,8.42,7.61,6.31,10.64,33.44,
AFI,Australian Foundation Investment Company Limited,Aug-21,2022,8.39,7.71,6.36,8.82,31.92,
AFI,Australian Foundation Investment Company Limited,Sep-21,2022,8.41,7.54,6.25,11.54,34.56,
AFI,Australian Foundation Investment Company Limited,Oct-21,2022,8.2,7.51,6.24,9.19,31.41,
AFI,Australian Foundation Investment Company Limited,Nov-21,2022,8.25,7.55,6.28,9.27,31.37,
AFI,Australian Foundation Investment Company Limited,Dec-21,2022,8.46,7.76,6.43,9.02,31.57,
AFI,Australian Foundation Investment Company Limited,Jan-22,2022,8.56,7.16,6.02,19.55,42.19,
AFI,Australian Foundation Investment Company Limited,Feb-22,2022,7.96,7.04,5.93,13.07,34.23,
AFI,Australian Foundation Investment Company Limited,Mar-22,2022,8.3,7.43,6.21,11.71,33.66,
AFI,Australian Foundation Investment Company Limited,Apr-22,2022,8.24,7.39,6.19,11.5,33.12,
AFI,Australian Foundation Investment Company Limited,May-22,2022,8.11,7.14,6.04,13.59,34.27,
AFI,Australian Foundation Investment Company Limited,Jun-22,2022,7.51,6.63,5.68,13.27,32.22,
AFI,Australian Foundation Investment Company Limited,Jul-22,2023,8,7.07,5.99,13.15,33.56,
AFI,Australian Foundation Investment Company Limited,Aug-22,2023,7.72,6.9,5.85,11.88,31.97,
AFI,Australian Foundation Investment Company Limited,Sep-22,2023,7.32,6.42,5.53,14.02,32.37,
AFI,Australian Foundation Investment Company Limited,Oct-22,2023,7.21,6.84,5.83,5.41,23.67,
AFI,Australian Foundation Investment Company Limited,Nov-22,2023,7.6,7.19,6.08,5.7,25,
AFI,Australian Foundation Investment Company Limited,Dec-22,2023,7.46,6.9,5.88,8.12,26.87,
AFI,Australian Foundation Investment Company Limited,Jan-23,2023,7.67,7.35,6.19,4.35,23.91,
AFI,Australian Foundation Investment Company Limited,Feb-23,2023,7.51,7.09,5.99,5.92,25.38,
AFI,Australian Foundation Investment Company Limited,Mar-23,2023,7.3,7.1,6.02,2.82,21.26,
AFI,Australian Foundation Investment Company Limited,Apr-23,2023,7.17,7.26,6.14,-1.24,16.78,
AFI,Australian Foundation Investment Company Limited,May-23,2023,7.08,7.07,6.01,0.14,17.8,
AFI,Australian Foundation Investment Company Limited,Jun-23,2023,7.07,7.19,6.09,-1.67,16.09,
AFI,Australian Foundation Investment Company Limited,Jul-23,2024,7.21,7.36,6.22,-2.04,15.92,
AFI,Australian Foundation Investment Company Limited,Aug-23,2024,6.94,7.2,6.08,-3.61,14.14,
ARG,Argo Investments Limited,Jan-14,2014,7.29,7.13,6.29,2.24,15.9,
ARG,Argo Investments Limited,Feb-14,2014,7.31,7.27,6.37,0.55,14.76,
ARG,Argo Investments Limited,Mar-14,2014,7.27,7.29,6.4,-0.27,13.59,
ARG,Argo Investments Limited,Apr-14,2014,7.2,7.39,6.48,-2.57,11.11,
ARG,Argo Investments Limited,May-14,2014,7.36,7.46,6.55,-1.34,12.37,
ARG,Argo Investments Limited,Jun-14,2014,7.63,7.35,6.48,3.81,17.75,
ARG,Argo Investments Limited,Jul-14,2015,7.76,7.63,6.67,1.7,16.34,
ARG,Argo Investments Limited,Aug-14,2015,7.9,7.58,6.61,4.22,19.52,
ARG,Argo Investments Limited,Sep-14,2015,7.58,7.22,6.38,4.99,18.81,
ARG,Argo Investments Limited,Oct-14,2015,7.83,7.51,6.58,4.26,19,
ARG,Argo Investments Limited,Nov-14,2015,7.85,7.25,6.42,8.28,22.27,
ARG,Argo Investments Limited,Dec-14,2015,7.76,7.36,6.49,5.43,19.57,
ARG,Argo Investments Limited,Jan-15,2015,7.99,7.53,6.61,6.11,20.88,
ARG,Argo Investments Limited,Feb-15,2015,8.03,7.92,6.86,1.39,17.06,
ARG,Argo Investments Limited,Mar-15,2015,8.01,7.93,6.88,1.01,16.42,
ARG,Argo Investments Limited,Apr-15,2015,7.85,7.84,6.82,0.13,15.1,
ARG,Argo Investments Limited,May-15,2015,7.98,7.91,6.89,0.88,15.82,
ARG,Argo Investments Limited,Jun-15,2015,7.97,7.52,6.62,5.98,20.39,
ARG,Argo Investments Limited,Jul-15,2016,8.28,7.84,6.84,5.61,21.05,
ARG,Argo Investments Limited,Aug-15,2016,7.87,7.13,6.31,10.38,24.72,
ARG,Argo Investments Limited,Sep-15,2016,7.59,6.89,6.17,10.16,23.01,
ARG,Argo Investments Limited,Oct-15,2016,7.74,7.17,6.38,7.95,21.32,
ARG,Argo Investments Limited,Nov-15,2016,7.61,7.13,6.36,6.73,19.65,
ARG,Argo Investments Limited,Dec-15,2016,8,7.28,6.47,9.89,23.65,
ARG,Argo Investments Limited,Jan-16,2016,7.56,6.9,6.2,9.57,21.94,
ARG,Argo Investments Limited,Feb-16,2016,7.3,6.59,5.96,10.77,22.48,
ARG,Argo Investments Limited,Mar-16,2016,7.27,6.87,6.17,5.82,17.83,
ARG,Argo Investments Limited,Apr-16,2016,7.26,7.07,6.31,2.69,15.06,
ARG,Argo Investments Limited,May-16,2016,7.23,7.28,6.47,-0.69,11.75,
ARG,Argo Investments Limited,Jun-16,2016,7.37,7.11,6.34,3.66,16.25,
ARG,Argo Investments Limited,Jul-16,2017,7.51,7.49,6.61,0.27,13.62,
ARG,Argo Investments Limited,Aug-16,2017,7.31,7.27,6.44,0.55,13.51,
ARG,Argo Investments Limited,Sep-16,2017,7.23,7.3,6.48,-0.96,11.57,
ARG,Argo Investments Limited,Oct-16,2017,7.27,7.17,6.39,1.39,13.77,
ARG,Argo Investments Limited,Nov-16,2017,7.28,7.35,6.53,-0.95,11.49,
ARG,Argo Investments Limited,Dec-16,2017,7.46,7.63,6.73,-2.23,10.85,
ARG,Argo Investments Limited,Jan-17,2017,7.61,7.6,6.71,0.13,13.41,
ARG,Argo Investments Limited,Feb-17,2017,7.53,7.58,6.67,-0.66,12.89,
ARG,Argo Investments Limited,Mar-17,2017,7.54,7.84,6.87,-3.83,9.75,
ARG,Argo Investments Limited,Apr-17,2017,7.62,7.92,6.92,-3.79,10.12,
ARG,Argo Investments Limited,May-17,2017,7.6,7.74,6.82,-1.81,11.44,
ARG,Argo Investments Limited,Jun-17,2017,7.67,7.71,6.8,-0.52,12.79,
ARG,Argo Investments Limited,Jul-17,2018,7.99,7.71,6.8,3.63,17.5,
ARG,Argo Investments Limited,Aug-17,2018,7.79,7.57,6.67,2.91,16.79,
ARG,Argo Investments Limited,Sep-17,2018,7.78,7.55,6.67,3.05,16.64,
ARG,Argo Investments Limited,Oct-17,2018,7.93,7.81,6.86,1.54,15.6,
ARG,Argo Investments Limited,Nov-17,2018,8.03,7.95,6.97,1.01,15.21,
ARG,Argo Investments Limited,Dec-17,2018,8.13,8.06,7.05,0.87,15.32,
ARG,Argo Investments Limited,Jan-18,2018,8.39,8.04,7.04,4.35,19.18,
ARG,Argo Investments Limited,Feb-18,2018,8.07,7.83,6.87,3.07,17.47,
ARG,Argo Investments Limited,Mar-18,2018,7.83,7.59,6.72,3.16,16.52,
ARG,Argo Investments Limited,Apr-18,2018,7.73,7.84,6.9,-1.4,12.03,
ARG,Argo Investments Limited,May-18,2018,7.82,7.92,6.97,-1.26,12.2,
ARG,Argo Investments Limited,Jun-18,2018,7.97,8.16,7.16,-2.33,11.31,
ARG,Argo Investments Limited,Jul-18,2019,8.19,8.24,7.21,-0.61,13.59,
ARG,Argo Investments Limited,Aug-18,2019,8.03,8.19,7.15,-1.95,12.31,
ARG,Argo Investments Limited,Sep-18,2019,7.94,8.06,7.09,-1.49,11.99,
ARG,Argo Investments Limited,Oct-18,2019,7.73,7.62,6.78,1.44,14.01,
ARG,Argo Investments Limited,Nov-18,2019,7.67,7.42,6.65,3.37,15.34,
ARG,Argo Investments Limited,Dec-18,2019,7.58,7.34,6.6,3.27,14.85,
ARG,Argo Investments Limited,Jan-19,2019,7.8,7.6,6.79,2.63,14.87,
ARG,Argo Investments Limited,Feb-19,2019,7.63,7.91,6.97,-3.54,9.47,
ARG,Argo Investments Limited,Mar-19,2019,7.63,7.93,7.01,-3.78,8.84,
ARG,Argo Investments Limited,Apr-19,2019,7.8,8.14,7.16,-4.18,8.94,
ARG,Argo Investments Limited,May-19,2019,7.92,8.24,7.24,-3.88,9.39,
ARG,Argo Investments Limited,Jun-19,2019,8.12,8.42,7.37,-3.56,10.18,
ARG,Argo Investments Limited,Jul-19,2020,8.33,8.59,7.5,-3.03,11.07,
ARG,Argo Investments Limited,Aug-19,2020,8.05,8.2,7.2,-1.83,11.81,
ARG,Argo Investments Limited,Sep-19,2020,8.19,8.44,7.38,-2.96,10.98,
ARG,Argo Investments Limited,Oct-19,2020,8.37,8.45,7.39,-0.95,13.26,
ARG,Argo Investments Limited,Nov-19,2020,8.56,8.69,7.57,-1.5,13.08,
ARG,Argo Investments Limited,Dec-19,2020,8.71,8.54,7.47,1.99,16.6,
ARG,Argo Investments Limited,Jan-20,2020,8.75,8.87,7.69,-1.35,13.78,
ARG,Argo Investments Limited,Feb-20,2020,8.16,8.04,7.08,1.49,15.25,
ARG,Argo Investments Limited,Mar-20,2020,6.69,6.29,5.87,6.36,13.97,
ARG,Argo Investments Limited,Apr-20,2020,7.36,6.84,6.25,7.6,17.76,
ARG,Argo Investments Limited,May-20,2020,7.45,7.1,6.44,4.93,15.68,
ARG,Argo Investments Limited,Jun-20,2020,7.19,7.27,6.56,-1.1,9.6,
ARG,Argo Investments Limited,Jul-20,2021,7.4,7.28,6.57,1.65,12.63,
ARG,Argo Investments Limited,Aug-20,2021,7.56,7.36,6.59,2.72,14.72,
ARG,Argo Investments Limited,Sep-20,2021,7.41,7.15,6.46,3.64,14.71,
ARG,Argo Investments Limited,Oct-20,2021,7.47,7.25,6.53,3.03,14.4,
ARG,Argo Investments Limited,Nov-20,2021,8.2,7.99,7.05,2.63,16.31,
ARG,Argo Investments Limited,Dec-20,2021,8.37,8.01,7.07,4.49,18.39,
ARG,Argo Investments Limited,Jan-21,2021,8.75,8.08,7.11,8.29,23.07,
ARG,Argo Investments Limited,Feb-21,2021,8.37,8.14,7.13,2.83,17.39,
ARG,Argo Investments Limited,Mar-21,2021,8.5,8.41,7.33,1.07,15.96,
ARG,Argo Investments Limited,Apr-21,2021,8.69,8.66,7.5,0.35,15.87,
ARG,Argo Investments Limited,May-21,2021,8.77,8.8,7.62,-0.34,15.09,
ARG,Argo Investments Limited,Jun-21,2021,8.93,9.01,7.78,-0.89,14.78,
ARG,Argo Investments Limited,Jul-21,2022,9.37,9.12,7.87,2.74,19.06,
ARG,Argo Investments Limited,Aug-21,2022,9.45,9.27,7.94,1.94,19.02,
ARG,Argo Investments Limited,Sep-21,2022,8.94,9.23,7.95,-3.14,12.45,
ARG,Argo Investments Limited,Oct-21,2022,9.53,9.21,7.94,3.47,20.03,
ARG,Argo Investments Limited,Nov-21,2022,9.45,9.29,8.01,1.72,17.98,
ARG,Argo Investments Limited,Dec-21,2022,10.18,9.52,8.17,6.93,24.6,
ARG,Argo Investments Limited,Jan-22,2022,9.93,8.95,7.78,10.95,27.63,
ARG,Argo Investments Limited,Feb-22,2022,9.75,8.83,7.69,10.42,26.79,
ARG,Argo Investments Limited,Mar-22,2022,9.52,9.4,8.14,1.28,16.95,
ARG,Argo Investments Limited,Apr-22,2022,9.55,9.41,8.15,1.49,17.18,
ARG,Argo Investments Limited,May-22,2022,9.41,9.14,8,2.95,17.63,
ARG,Argo Investments Limited,Jun-22,2022,8.8,8.45,7.51,4.14,17.18,
ARG,Argo Investments Limited,Jul-22,2023,9.36,8.86,7.81,5.64,19.85,
ARG,Argo Investments Limited,Aug-22,2023,9.23,8.74,7.69,5.61,20.03,
ARG,Argo Investments Limited,Sep-22,2023,8.82,8.13,7.28,8.49,21.15,
ARG,Argo Investments Limited,Oct-22,2023,8.9,8.63,7.63,3.13,16.64,
ARG,Argo Investments Limited,Nov-22,2023,9.16,9.07,7.95,0.99,15.22,
ARG,Argo Investments Limited,Dec-22,2023,8.94,8.75,7.73,2.17,15.65,
ARG,Argo Investments Limited,Jan-23,2023,9.42,9.21,8.05,2.28,17.02,
ARG,Argo Investments Limited,Feb-23,2023,8.96,8.96,7.85,0,14.14,
ARG,Argo Investments Limited,Mar-23,2023,8.88,8.91,7.84,-0.34,13.27,
ARG,Argo Investments Limited,Apr-23,2023,8.77,9.07,7.95,-3.31,10.31,
ARG,Argo Investments Limited,May-23,2023,8.68,8.87,7.82,-2.14,11,
ARG,Argo Investments Limited,Jun-23,2023,8.76,9.03,7.94,-2.99,10.33,
ARG,Argo Investments Limited,Jul-23,2024,8.85,9.25,8.09,-4.32,9.39,
ARG,Argo Investments Limited,Aug-23,2024,8.63,9.06,7.92,-4.75,8.96,
WAM,WAM Capital Limited,Jan-14,2014,1.97,1.78,1.75,10.39,12.29,
WAM,WAM Capital Limited,Feb-14,2014,2.05,1.84,1.8,11.41,13.89,
WAM,WAM Capital Limited,Mar-14,2014,1.98,1.89,1.75,4.5,12.86,
WAM,WAM Capital Limited,Apr-14,2014,1.95,1.78,1.74,9.55,12.07,
WAM,WAM Capital Limited,May-14,2014,1.92,1.79,1.75,7.26,9.71,
WAM,WAM Capital Limited,Jun-14,2014,1.94,1.79,1.74,8.38,11.49,
WAM,WAM Capital Limited,Jul-14,2015,2.02,1.8,1.77,12.22,14.12,
WAM,WAM Capital Limited,Aug-14,2015,2.06,1.85,1.81,11.35,13.81,
WAM,WAM Capital Limited,Sep-14,2015,2,1.82,1.79,9.89,11.73,
WAM,WAM Capital Limited,Oct-14,2015,1.95,1.77,1.74,10.17,12.07,
WAM,WAM Capital Limited,Nov-14,2015,1.99,1.76,1.74,13.07,14.37,
WAM,WAM Capital Limited,Dec-14,2015,2.01,1.77,1.75,13.56,14.86,
WAM,WAM Capital Limited,Jan-15,2015,2.01,1.78,1.8,12.92,11.67,
WAM,WAM Capital Limited,Feb-15,2015,2.07,1.88,1.83,10.11,13.11,
WAM,WAM Capital Limited,Mar-15,2015,2.01,1.9,1.86,5.79,8.06,
WAM,WAM Capital Limited,Apr-15,2015,1.94,1.83,1.8,6.01,7.78,
WAM,WAM Capital Limited,May-15,2015,1.98,1.85,1.81,7.03,9.39,
WAM,WAM Capital Limited,Jun-15,2015,1.92,1.81,1.78,6.08,7.87,
WAM,WAM Capital Limited,Jul-15,2016,1.98,1.88,1.84,5.05,7.34,
WAM,WAM Capital Limited,Aug-15,2016,1.99,1.86,1.82,6.72,9.07,
WAM,WAM Capital Limited,Sep-15,2016,2,1.88,1.84,6.38,8.7,
WAM,WAM Capital Limited,Oct-15,2016,1.96,1.87,1.81,4.81,8.29,
WAM,WAM Capital Limited,Nov-15,2016,2.04,1.91,1.85,6.81,10.27,
WAM,WAM Capital Limited,Dec-15,2016,2.12,1.96,1.88,8.16,12.77,
WAM,WAM Capital Limited,Jan-16,2016,2.16,1.91,1.85,13.09,16.76,
WAM,WAM Capital Limited,Feb-16,2016,2.17,1.87,1.82,16.04,19.23,
WAM,WAM Capital Limited,Mar-16,2016,2.26,1.92,1.86,17.71,21.51,
WAM,WAM Capital Limited,Apr-16,2016,2.15,1.84,1.79,16.85,20.11,
WAM,WAM Capital Limited,May-16,2016,2.14,1.92,1.86,11.46,15.05,
WAM,WAM Capital Limited,Jun-16,2016,2.23,1.97,1.92,13.2,16.15,
WAM,WAM Capital Limited,Jul-16,2017,2.23,1.97,1.92,13.2,16.15,
WAM,WAM Capital Limited,Aug-16,2017,2.27,2.05,2,10.73,13.5,
WAM,WAM Capital Limited,Sep-16,2017,2.34,2.09,2.03,11.96,15.27,
WAM,WAM Capital Limited,Oct-16,2017,2.27,1.98,1.93,14.65,17.62,
WAM,WAM Capital Limited,Nov-16,2017,2.35,1.98,1.93,18.69,21.76,
WAM,WAM Capital Limited,Dec-16,2017,2.41,2,1.95,20.5,23.59,
WAM,WAM Capital Limited,Jan-17,2017,2.39,2,1.96,19.5,21.94,
WAM,WAM Capital Limited,Feb-17,2017,2.48,1.98,1.94,25.25,27.84,
WAM,WAM Capital Limited,Mar-17,2017,2.55,2,1.96,27.5,30.1,
WAM,WAM Capital Limited,Apr-17,2017,2.38,1.92,1.88,23.96,26.6,
WAM,WAM Capital Limited,May-17,2017,2.27,1.92,1.89,18.23,20.11,
WAM,WAM Capital Limited,Jun-17,2017,2.39,1.95,1.92,22.56,24.48,
WAM,WAM Capital Limited,Jul-17,2018,2.47,1.95,1.93,26.67,27.98,
WAM,WAM Capital Limited,Aug-17,2018,2.46,1.96,1.94,25.51,26.8,
WAM,WAM Capital Limited,Sep-17,2018,2.52,1.97,1.95,27.92,29.23,
WAM,WAM Capital Limited,Oct-17,2018,2.44,1.97,1.93,23.86,26.42,
WAM,WAM Capital Limited,Nov-17,2018,2.36,2.02,1.97,16.83,19.8,
WAM,WAM Capital Limited,Dec-17,2018,2.4,2.05,1.99,17.07,20.6,
WAM,WAM Capital Limited,Jan-18,2018,2.45,2.07,2,18.36,22.5,
WAM,WAM Capital Limited,Feb-18,2018,2.5,2.06,2.01,21.36,24.38,
WAM,WAM Capital Limited,Mar-18,2018,2.5,2.01,1.98,24.38,26.26,
WAM,WAM Capital Limited,Apr-18,2018,2.38,1.97,1.93,20.81,23.32,
WAM,WAM Capital Limited,May-18,2018,2.36,2,1.96,18,20.41,
WAM,WAM Capital Limited,Jun-18,2018,2.38,2.03,1.98,17.24,20.2,
WAM,WAM Capital Limited,Jul-18,2019,2.42,2.01,1.99,20.4,21.61,
WAM,WAM Capital Limited,Aug-18,2019,2.5,2.06,2.03,21.36,23.15,
WAM,WAM Capital Limited,Sep-18,2019,2.48,2.06,2.03,20.39,22.17,
WAM,WAM Capital Limited,Oct-18,2019,2.43,1.92,1.94,26.56,25.26,
WAM,WAM Capital Limited,Nov-18,2019,2.22,1.89,1.84,17.46,20.65,
WAM,WAM Capital Limited,Dec-18,2019,2.16,1.75,1.8,23.43,20,
WAM,WAM Capital Limited,Jan-19,2019,2.08,1.78,1.83,16.85,13.66,
WAM,WAM Capital Limited,Feb-19,2019,2.22,1.85,1.87,20,18.72,
WAM,WAM Capital Limited,Mar-19,2019,2.23,1.84,1.88,21.2,18.62,
WAM,WAM Capital Limited,Apr-19,2019,2.03,1.93,1.86,5.18,9.14,
WAM,WAM Capital Limited,May-19,2019,2.09,1.83,1.86,14.21,12.37,
WAM,WAM Capital Limited,Jun-19,2019,2.02,1.84,1.87,9.78,8.02,
WAM,WAM Capital Limited,Jul-19,2020,2.16,1.91,1.92,13.09,12.5,
WAM,WAM Capital Limited,Aug-19,2020,2.11,1.89,1.91,11.64,10.47,
WAM,WAM Capital Limited,Sep-19,2020,2.28,1.94,1.96,17.53,16.33,
