lic_ticker,lic_name,year,ex_date,payment_date,dividend_type,dividend_phase,cash_amount,franking_level,corp_tax_rate,franking_credit_amount,grossed_up_amount,drp_price,lic_id
AFI,Australian Foundation Investment Company Limited,2014,2014-02-07,2014-02-21,Ordinary,Interim,0.08,100,30,0.0343,0.1143,5.86,
AFI,Australian Foundation Investment Company Limited,2014,2014-08-08,2014-08-29,Ordinary,Final,0.14,100,30,0.06,0.2,5.93,
AFI,Australian Foundation Investment Company Limited,2015,2014-02-05,2015-02-20,Ordinary,Interim,0.09,100,30,0.0386,0.1286,5.97,
AFI,Australian Foundation Investment Company Limited,2015,2015-08-07,2015-08-28,Ordinary,Final,0.14,100,30,0.06,0.2,6.03,
AFI,Australian Foundation Investment Company Limited,2016,2016-02-03,2016-02-19,Ordinary,Interim,0.1,100,30,0.0429,0.1429,5.43,
AFI,Australian Foundation Investment Company Limited,2016,2016-08-09,2016-08-30,Ordinary,Final,0.14,100,30,0.06,0.2,5.58,
AFI,Australian Foundation Investment Company Limited,2017,2017-02-07,2017-02-24,Ordinary,Interim,0.1,100,30,0.0429,0.1429,5.84,
AFI,Australian Foundation Investment Company Limited,2017,2017-08-08,2017-08-30,Ordinary,Final,0.14,100,30,0.06,0.2,5.92,
AFI,Australian Foundation Investment Company Limited,2018,2018-02-08,2018-02-23,Ordinary,Interim,0.1,100,30,0.0429,0.1429,6.11,
AFI,Australian Foundation Investment Company Limited,2018,2018-08-08,2018-08-31,Ordinary,Final,0.14,100,30,0.06,0.2,6.18,
AFI,Australian Foundation Investment Company Limited,2019,2019-02-08,2019-02-25,Ordinary,Interim,0.08,100,30,0.0343,0.1143,5.93,
AFI,Australian Foundation Investment Company Limited,2019,2019-02-08,2019-02-25,Special,Special,0.1,100,30,0.0429,0.1429,5.93,
AFI,Australian Foundation Investment Company Limited,2019,2019-08-06,2019-08-29,Ordinary,Final,0.14,100,30,0.06,0.2,6.21,
AFI,Australian Foundation Investment Company Limited,2020,2020-02-07,2020-02-24,Ordinary,Interim,0.1,100,30,0.0429,0.1429,6.93,
AFI,Australian Foundation Investment Company Limited,2020,2020-08-11,2020-09-01,Ordinary,Final,0.14,100,30,0.06,0.2,6.3,
AFI,Australian Foundation Investment Company Limited,2021,2021-02-08,2021-02-23,Ordinary,Interim,0.1,100,30,0.0429,0.1429,7.1,
AFI,Australian Foundation Investment Company Limited,2021,2021-08-11,2021-08-31,Ordinary,Final,0.14,100,30,0.06,0.2,8.1,
AFI,Australian Foundation Investment Company Limited,2022,2022-02-09,2022-02-25,Ordinary,Interim,0.1,100,30,0.0429,0.1429,7.86,
AFI,Australian Foundation Investment Company Limited,2022,2022-08-10,2022-08-30,Ordinary,Final,0.14,100,30,0.06,0.2,7.56,
AFI,Australian Foundation Investment Company Limited,2023,2023-02-02,2023-02-24,Ordinary,Interim,0.11,100,30,0.0471,0.1571,7.29,
AFI,Australian Foundation Investment Company Limited,2023,2023-08-11,2023-09-01,Ordinary,Final,0.14,100,30,0.06,0.2,7.03,
ARG,Argo Investments Limited,2014,2014-02-11,2014-03-05,Ordinary,Interim,0.135,100,30,0.0579,0.1929,7.16,
ARG,Argo Investments Limited,2014,2014-08-18,2014-09-03,Ordinary,Final,0.145,100,30,0.0621,0.2071,7.79,
ARG,Argo Investments Limited,2015,2015-02-12,2015-03-04,Ordinary,Interim,0.14,100,30,0.06,0.2,7.95,
ARG,Argo Investments Limited,2015,2015-08-17,2015-09-02,Ordinary,Final,0.155,100,30,0.0664,0.2214,7.85,
ARG,Argo Investments Limited,2016,2016-02-11,2016-03-04,Ordinary,Interim,0.15,100,30,0.0643,0.2143,7.15,
ARG,Argo Investments Limited,2016,2016-08-23,2016-09-09,Ordinary,Final,0.155,100,30,0.0664,0.2214,7.32,
ARG,Argo Investments Limited,2017,2017-02-17,2017-03-10,Ordinary,Interim,0.15,100,30,0.0643,0.2143,7.46,
ARG,Argo Investments Limited,2017,2017-08-25,2017-09-15,Ordinary,Final,0.16,100,30,0.0686,0.2286,7.63,
ARG,Argo Investments Limited,2018,2018-02-16,2018-03-09,Ordinary,Interim,0.155,100,30,0.0664,0.2214,7.98,
ARG,Argo Investments Limited,2018,2018-08-24,2018-09-14,Ordinary,Final,0.16,100,30,0.0686,0.2286,7.89,
ARG,Argo Investments Limited,2019,2019-02-15,2019-03-08,Ordinary,Interim,0.16,100,30,0.0686,0.2286,7.53,
ARG,Argo Investments Limited,2019,2019-08-23,2019-09-13,Ordinary,Final,0.17,100,30,0.0729,0.2429,8.05,
ARG,Argo Investments Limited,2020,2020-02-14,2020-03-06,Ordinary,Interim,0.16,100,30,0.0686,0.2286,8.82,
ARG,Argo Investments Limited,2020,2020-08-28,2020-09-18,Ordinary,Final,0.14,100,30,0.06,0.2,7.59,
ARG,Argo Investments Limited,2021,2021-02-19,2021-03-12,Ordinary,Interim,0.14,100,30,0.06,0.2,8.34,
ARG,Argo Investments Limited,2021,2021-08-27,2021-09-17,Ordinary,Final,0.14,100,30,0.06,0.2,9.23,
ARG,Argo Investments Limited,2022,2022-02-18,2022-03-11,Ordinary,Interim,0.16,100,30,0.0686,0.2286,9.6,
ARG,Argo Investments Limited,2022,2022-08-26,2022-09-16,Ordinary,Final,0.17,100,30,0.0729,0.2429,9.08,
ARG,Argo Investments Limited,2023,2023-02-17,2023-03-10,Ordinary,Interim,0.165,100,30,0.0707,0.2357,8.98,
ARG,Argo Investments Limited,2023,2023-08-25,2023-09-15,Ordinary,Final,0.18,100,30,0.0771,0.2571,8.67,
WAM,WAM Capital Limited,2014,2014-03-18,2014-03-31,Ordinary,Interim,0.065,100,30,0.0279,0.0929,1.9432,
WAM,WAM Capital Limited,2014,2014-10-07,2014-10-17,Ordinary,Final,0.065,100,30,0.0279,0.0929,1.8903,
WAM,WAM Capital Limited,2015,2015-04-20,2015-04-30,Ordinary,Interim,0.07,100,30,0.03,0.1,1.9154,
WAM,WAM Capital Limited,2015,2015-10-19,2015-10-30,Ordinary,Final,0.07,100,30,0.03,0.1,1.9186,
WAM,WAM Capital Limited,2016,2016-04-27,2016-05-13,Ordinary,Interim,0.0725,100,30,0.0311,0.1036,2.1135,
WAM,WAM Capital Limited,2016,2016-10-17,2016-10-28,Ordinary,Final,0.0725,100,30,0.0311,0.1036,2.2603,
WAM,WAM Capital Limited,2017,2017-04-13,2017-04-28,Ordinary,Interim,0.075,100,30,0.0321,0.1071,2.3699,
WAM,WAM Capital Limited,2017,2017-10-17,2017-10-27,Ordinary,Final,0.075,100,30,0.0321,0.1071,2.3531,
WAM,WAM Capital Limited,2018,2018-04-12,2018-04-27,Ordinary,Interim,0.0775,100,30,0.0332,0.1107,2.3502,
WAM,WAM Capital Limited,2018,2018-11-16,2018-11-26,Ordinary,Final,0.0775,100,30,0.0332,0.1107,2.0944,
WAM,WAM Capital Limited,2019,2019-04-10,2019-04-26,Ordinary,Interim,0.0775,100,30,0.0332,0.1107,2.0413,
WAM,WAM Capital Limited,2019,2019-10-17,2019-10-25,Ordinary,Final,0.0775,100,30,0.0332,0.1107,2.1544,
WAM,WAM Capital Limited,2020,2020-04-20,2020-04-28,Ordinary,Interim,0.0775,100,30,0.0332,0.1107,1.7986,
WAM,WAM Capital Limited,2020,2020-11-19,2020-11-27,Ordinary,Final,0.0775,100,30,0.0332,0.1107,2.1965,
WAM,WAM Capital Limited,2021,2021-05-31,2021-06-07,Ordinary,Interim,0.0775,100,30,0.0332,0.1107,2.1607,
WAM,WAM Capital Limited,2021,2021-10-18,2021-10-29,Ordinary,Final,0.0775,100,30,0.0332,0.1107,2.2381,
WAM,WAM Capital Limited,2022,2022-06-06,2022-06-17,Ordinary,Interim,0.0775,100,30,0.0332,0.1107,1.8999,
WAM,WAM Capital Limited,2022,2022-10-17,2022-10-28,Ordinary,Final,0.0775,100,30,0.0332,0.1107,1.6872,
WAM,WAM Capital Limited,2023,2023-05-15,2023-05-26,Ordinary,Interim,0.0775,100,30,0.0332,0.1107,1.6038,
WAM,WAM Capital Limited,2023,2023-10-17,2023-10-31,Ordinary,Final,0.0775,100,30,0.0332,0.1107,1.5619,
WLE,WAM Leaders Limited,2017,2017-04-13,2017-04-28,Ordinary,Interim,0.01,100,30,0.0043,0.0143,1.1242,
WLE,WAM Leaders Limited,2017,2017-11-23,2017-12-05,Ordinary,Final,0.02,100,30,0.0086,0.0286,1.1382,
WLE,WAM Leaders Limited,2018,2018-04-12,2018-04-27,Ordinary,Interim,0.025,100,30,0.0107,0.0357,1.1152,
WLE,WAM Leaders Limited,2018,2018-10-12,2018-10-26,Ordinary,Final,0.025,100,30,0.0107,0.0357,1.1281,
WLE,WAM Leaders Limited,2019,2019-04-10,2019-04-26,Ordinary,Interim,0.0265,100,30,0.0114,0.0379,1.0992,
WLE,WAM Leaders Limited,2019,2019-10-11,2019-10-25,Ordinary,Final,0.03,100,30,0.0129,0.0429,1.1493,
WLE,WAM Leaders Limited,2020,2020-04-15,2020-04-28,Ordinary,Interim,0.0325,100,30,0.0139,0.0464,1.0088,
WLE,WAM Leaders Limited,2020,2020-10-19,2020-10-30,Ordinary,Final,0.0325,100,30,0.0139,0.0464,1.2061,
WLE,WAM Leaders Limited,2021,2021-04-14,2021-04-26,Ordinary,Interim,0.035,100,30,0.015,0.05,1.5131,
WLE,WAM Leaders Limited,2021,2021-10-18,2021-10-29,Ordinary,Final,0.035,100,30,0.015,0.05,1.4826,
WLE,WAM Leaders Limited,2022,2022-04-13,2022-04-29,Ordinary,Interim,0.04,100,30,0.0171,0.0571,1.5431,
WLE,WAM Leaders Limited,2022,2022-11-17,2022-11-30,Ordinary,Final,0.04,100,30,0.0171,0.0571,1.4951,
WLE,WAM Leaders Limited,2023,2023-05-19,2023-05-31,Ordinary,Interim,0.045,100,30,0.0193,0.0643,1.4652,
WLE,WAM Leaders Limited,2023,2023-10-17,2023-10-31,Ordinary,Final,0.045,100,30,0.0193,0.0643,1.4086,
LSF,L1 Long Short Fund Limited,2021,2021-03-01,2021-03-26,Ordinary,Interim,0.015,100,30,0.0064,0.0214,2.15,
LSF,L1 Long Short Fund Limited,2021,2021-09-13,2021-10-01,Ordinary,Final,0.03,100,30,0.0129,0.0429,2.64,
LSF,L1 Long Short Fund Limited,2022,2022-03-14,2022-04-01,Ordinary,Interim,0.04,100,30,0.0171,0.0571,2.86,
LSF,L1 Long Short Fund Limited,2022,2022-09-12,2022-09-30,Ordinary,Final,0.045,100,30,0.0193,0.0643,2.48,
LSF,L1 Long Short Fund Limited,2023,2023-03-15,2023-04-04,Ordinary,Interim,0.05,100,30,0.0214,0.0714,2.67,
LSF,L1 Long Short Fund Limited,2023,2023-09-11,2023-10-03,Ordinary,Final,0.055,100,30,0.0236,0.0786,2.84,
MFF,MFF Capital Investments Limited,2014,2014-04-29,2014-05-16,Ordinary,Interim,0.01,0,30,0,0.01,1.4804,
